id;title;year;genre;duration;country;director
tt0808285;The Good Heart;2009;Comedy, Drama;99;Iceland, Denmark, USA, France, Germany;Dagur KÃ¡ri
tt0808510;Tooth Fairy;2010;Comedy, Family, Fantasy;101;USA, Canada;Michael Lembeck
tt0808526;Life During Wartime;2009;Comedy, Drama;98;USA;Todd Solondz
tt0809432;Hilde;2009;Biography, Drama, Music;137;Germany;Kai Wessel
tt0810089;The Belgrade Phantom;2009;Action, Crime, Drama;82;Serbia, Hungary, Bulgaria;Jovan B. Todorovic
tt0810772;Belle du Seigneur;2012;Drama, Romance;104;France, Luxembourg, Germany, Belgium, Switzerland, UK;Glenio Bonder
tt0810784;Bright Star;2009;Biography, Drama, Romance;119;UK, Australia, France;Jane Campion
tt0810819;The Danish Girl;2015;Biography, Drama, Romance;119;UK, USA, Germany, Denmark, Belgium, Japan;Tom Hooper
tt0810821;A Day in the Life;2009;Action, Crime, Drama;90;USA;Sticky Fingaz
tt0810913;Jack and Jill;2011;Comedy;91;USA;Dennis Dugan
tt0810922;Take Me Home Tonight;2011;Comedy, Drama, Romance;97;USA, Germany;Michael Dowse
tt0810924;Knife Edge;2009;Horror, Thriller;90;UK, USA;Anthony Hickox
tt0811021;PlumÃ­feros - Aventuras voladoras;2010;Animation, Adventure, Comedy;80;Argentina, USA;Daniel De Felippo, Gustavo Giannini
tt0811047;Rovdrift;2009;Horror, Thriller;90;Denmark;Emil Ishii
tt0811124;The Lost Tribe;2009;Adventure, Horror, Thriller;100;USA;Roel ReinÃ©
tt0811137;The Do-Deca-Pentathlon;2012;Comedy;76;USA;Jay Duplass, Mark Duplass
tt0812352;Nine Miles Down;2009;Horror, Mystery, Sci-Fi;86;UK, USA, Hungary, Australia, Saudi Arabia, Tunisia;Anthony Waller
tt0814255;Percy Jackson & the Olympians: The Lightning Thief;2010;Adventure, Family, Fantasy;118;UK, Canada, USA;Chris Columbus
tt0814331;Spring Breakdown;2009;Comedy, Romance;84;USA;Ryan Shiraki
tt0814335;The Stepfather;2009;Crime, Thriller;101;USA;Nelson McCormick
tt0815182;Irene in Time;2009;Comedy, Drama, Romance;95;USA;Henry Jaglom
tt0815236;She's Out of My League;2010;Comedy, Romance;104;USA;Jim Field Smith
tt0815245;The Uninvited;2009;Drama, Horror, Mystery;87;USA, Canada, Germany;Charles Guard, Thomas Guard
tt0816442;The Book Thief;2013;Drama, War;131;USA, Germany;Brian Percival
tt0816462;Conan the Barbarian;2011;Action, Adventure, Fantasy;113;USA;Marcus Nispel
tt0816692;Interstellar;2014;Adventure, Drama, Sci-Fi;169;USA, UK, Canada;Christopher Nolan
tt0816711;World War Z;2013;Action, Adventure, Horror;116;USA, UK, Malta;Marc Forster
tt0817177;Flipped;2010;Comedy, Drama, Romance;90;USA;Rob Reiner
tt0817230;Valentine's Day;2010;Comedy, Romance;125;USA;Garry Marshall
tt0817545;The Power of Few;2013;Action, Crime, Drama;96;USA;Leone Marucci
tt0818098;Dreamkiller;2010;Thriller;110;USA;Catherine C. Pirotta
